파일명,평면1_평면도_편차,원1(I) <상>_D_편차,원2(I) <중>_D_편차,원3(I) <하>_D_편차,"원통1(I) <- 원1, 원2, 원3의 측정점 병합_D_편차","원통1(I) <- 원1, 원2, 원3의 측정점 병합_원통도_편차","원통1(I) <- 원1, 원2, 원3의 측정점 병합_직각도_편차",점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_X_편차,점2 <- 점1의 되부름 <열전 관리치수(Spec : 116.6±0.1)>_Y_편차,각도1 <- 각도[XYPLAN]:직선2와 직선3_Ang_편차,직선4 <27° 소재>_Y/X_편차,직선5 <7.5° 소재>_Y/X_편차,점3 <- 직선4와 직선5의 교차점 <소재>_X_편차,직선6 <35.9° 소재>_Y/X_편차,점4 <- 직선6와 직선5의 교차점 <소재>_X_편차,점4 <- 직선6와 직선5의 교차점 <소재>_Y_편차,직선7 <23.1°>_Y/X_편차,직선8 <6°>_Y/X_편차,점5 <- 직선8와 직선7의 교차점_X_편차,점5 <- 직선8와 직선7의 교차점_Y_편차,원4(E) <소재>_X_편차,원4(E) <소재>_Y_편차,원4(E) <소재>_D_편차,원4(E) <소재>_동심도_편차,점6 <- 직선9와 직선10의 교차점 <소재>_X_편차,점6 <- 직선9와 직선10의 교차점 <소재>_Y_편차,점7 <- 직선10와 직선11의 교차점 <소재>_X_편차,점7 <- 직선10와 직선11의 교차점 <소재>_Y_편차,점8 <- 직선13와 직선12의 교차점 <소재>_X_편차,직선14 <23.1° 소재>_Y/X_편차,직선16 <우상 소재>_X/Y_편차,직선18 <좌상 소재>_X/Y_편차,거리1 <- XAXIS[PT]:점9와 점10 <상>_DS_편차,점13 <- 점11와 점12의 중점 <열전관리_상>_X_편차,직선19 <좌하 소재>_X/Y_편차,직선21 <우하 소재>_X/Y_편차,거리2 <- XAXIS[PT]:점14와 점15 <하>_DS_편차,점18 <- 점16와 점17의 중점 <열전관리_하>_X_편차,점19 <상>_Y_편차,점20 <하>_Y_편차,원5(I) <상부>_Y_편차,원5(I) <상부>_D_편차,원6(I) <하부>_Y_편차,원6(I) <하부>_D_편차,거리3 <- XYPLAN[PT]:원5와 원통1_DS_편차,평면2_Z_편차,평면2_평면도_편차,평면2_평행도_편차,"평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_Z_편차","평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평면도_편차","평면3 <- 점21, 점22, 점23, ... , 점26의 측정점 병합 <마이크로미터로 측정 해볼 것 !!!!!!!!!!!!!!!!>_평행도_편차",원7(E) <- 원4의 되부름_X_편차,원7(E) <- 원4의 되부름_Y_편차,원7(E) <- 원4의 되부름_D_편차,원7(E) <- 원4의 되부름_동심도_편차,점28 <- 점27의 되부름 <소재 원점>_X_편차,점28 <- 점27의 되부름 <소재 원점>_Y_편차,각도2 <- 각도[XYPLAN]:직선23와 직선24_Ang_편차,점29 <- 점13의 되부름 <소재원점>_X_편차,점29 <- 점13의 되부름 <소재원점>_Y_편차,점30 <- 점18의 되부름 <소재원점>_X_편차,점30 <- 점18의 되부름 <소재원점>_Y_편차,직선25 <- 직선18의 되부름_X/Y_편차,직선26 <- 직선16의 되부름_X/Y_편차,거리4 <- XAXIS[평균]:점32와 점31 <소재기준>_DS_편차,품질상태
240113_일상검사_주_초_2-6-1_NG,0,0.015,0.016,0.011,0.014,0,0,0.097,0.009,0.325,0.297,-0.045,-0.111,0.075,-0.023,0.265,0.093,0.224,-0.058,0.164,0.06,0.151,-0.385,0,0.062,0.161,0.17,0.116,0.026,0.155,0.114,-0.235,0.022,0.035,-0.333,-0.303,-0.005,0.043,0.041,-0.014,-0.112,0.018,-0.099,0.014,0.001,0.279,0,0,0.506,0,0,0.06,0.151,-0.385,0,0.044,0.004,0.032,0.043,0.104,0.051,0.074,-0.159,0.037,0.022,0
240116_일상검사_야_중_1-1-1_NG,0,0.005,0.008,-0.007,0.002,0,0,0.133,0.012,0.194,0.238,-0.004,-0.094,-0.171,0.022,0.286,0.151,0.18,-0.013,0.178,0.039,0.086,-0.412,0,0.091,0.09,0.21,0.079,0.06,0.09,-0.26,-0.079,0.037,0.078,-0.226,-0.641,0.014,0.073,0.028,-0.012,0.068,0.034,0.085,0.03,0.044,0.313,0,0,0.553,0,0,0.039,0.086,-0.412,0,0.108,0.01,-0.01,0.078,0.076,0.073,0.049,-0.036,-0.303,0.037,0
240116_일상검사_야_중_1-2-1_NG,0,0.004,0.006,-0.007,0.001,0,0,0.111,0.01,0.241,0.19,-0.046,-0.123,-0.217,0.004,0.282,0.171,0.207,-0.033,0.151,0.039,0.142,-0.399,0,0.111,0.127,0.168,0.111,0.049,0.126,-0.275,-0.296,0.029,0.041,-0.332,-0.454,0.03,0.04,0.011,0.008,0.062,0.031,0.103,0.036,-0.009,0.316,0,0,0.547,0,0,0.039,0.142,-0.399,0,0.1,0.009,-0.001,0.064,0.074,0.063,0.081,-0.228,-0.343,0.029,0
240116_일상검사_야_중_1-3-1_NG,0,-0.015,0.009,-0.018,-0.008,0,0,0.15,0.014,0.324,0.219,-0.013,-0.093,-0.176,0.035,0.286,0.147,0.164,-0.011,0.177,0.046,0.075,-0.416,0,0.086,0.087,0.16,0.082,34.991,0.071,-0.238,-0.087,0.031,0.092,-0.226,-0.809,0.018,0.089,0.022,-0.003,-0.01,0.033,0.024,0.031,0.012,0.315,0,0,0.55,0,0,0.046,0.075,-0.416,0,0.111,0.01,-0.031,0.081,0.068,0.078,0.055,-0.05,-0.275,0.031,0
240116_일상검사_야_중_1-4-1_NG,0,0,0.004,-0.013,-0.003,0,0,0.121,0.011,0.311,0.216,-0.022,-0.125,-0.206,0.003,0.274,0.154,0.198,-0.037,0.158,0.03,0.124,-0.399,0,0.075,0.12,0.147,0.117,0.039,0.092,-0.215,-0.269,0.03,0.046,-0.37,-0.682,0.013,0.043,0.022,-0.015,0.057,0.037,0.083,0.024,-0.012,0.308,0,0,0.547,0,0,0.03,0.124,-0.399,0,0.105,0.01,-0.011,0.069,0.08,0.066,0.058,-0.209,-0.275,0.03,0
240116_일상검사_야_중_1-5-1_NG,0,0.003,0.003,-0.002,0.001,0,0,0.109,0.01,0.268,0.265,0.008,-0.123,-0.187,0.008,0.302,0.135,0.171,-0.039,0.202,0.023,0.06,-0.396,0,0.069,0.082,0.114,0.084,0.039,0.1,-0.204,-0.046,0.046,0.058,-0.3,-0.605,0.029,0.066,0.053,0.021,0.011,0.035,0.054,0.03,-0.018,0.309,0,0,0.545,0,0,0.023,0.06,-0.396,0,0.086,0.008,-0.014,0.061,0.085,0.07,0.068,-0.016,-0.235,0.046,0
240116_일상검사_야_중_1-6-1_NG,0,0.001,0.004,0.002,0.003,0,0,0.138,0.013,0.231,0.266,0.016,-0.084,-0.155,0.037,0.299,0.119,0.148,-0.014,0.21,0.035,0.025,-0.411,0,0.075,0.053,0.133,0.052,0.067,0.032,-0.349,-0.25,0.042,0.097,-0.233,-0.59,0.026,0.094,0.042,0.027,-0.041,0.029,-0.025,0.024,-0.01,0.288,0,0,0.533,0,0,0.035,0.025,-0.411,0,0.106,0.01,-0.063,0.075,0.066,0.071,0.064,-0.238,-0.361,0.042,0
240116_일상검사_야_중_2-3-1_NG,0,0.002,0.006,0.002,0.003,0,0,0.137,0.013,0.21,0.238,-0.012,-0.096,-0.167,0.023,0.285,0.125,0.181,-0.025,0.174,0.044,0.095,-0.406,0,0.092,0.106,0.133,0.101,0.052,0.058,-0.245,-0.058,0.039,0.08,-0.303,-0.673,0.014,0.074,0.029,-0.012,-0.012,0.014,0.022,0.013,0.049,0.294,0,0,0.533,0,0,0.044,0.095,-0.406,0,0.102,0.01,-0.049,0.079,0.081,0.073,0.055,-0.01,-0.292,0.039,0
240116_일상검사_야_중_2-4-1_NG,0,0.002,0.003,-0.001,0.001,0,0,0.125,0.012,0.274,0.214,-0.027,-0.113,-0.182,0.002,0.274,0.129,0.199,-0.042,0.15,0.035,0.127,-0.408,0,0.085,0.118,0.138,0.112,0.04,0.092,-0.218,-0.07,0.028,0.054,-0.304,-0.637,0.01,0.047,0.011,-0.008,-0.023,0.015,-0.004,0.014,0.037,0.297,0,0,0.528,0,0,0.035,0.127,-0.408,0,0.104,0.01,-0.071,0.074,0.069,0.067,0.058,-0.007,-0.281,0.028,0
240116_일상검사_야_중_2-5-1_NG,0,0.002,0.005,0.001,0.003,0,0,0.118,0.011,0.181,0.235,-0.009,-0.115,-0.159,0.008,0.278,0.129,0.173,-0.044,0.171,0.023,0.088,-0.41,0,0.11,0.087,0.115,0.095,0.029,0.087,-0.244,-0.071,0.037,0.063,-0.277,-0.705,0.016,0.058,0.03,0,0,0.016,0.037,0.017,0.058,0.274,0,0,0.516,0,0,0.023,0.088,-0.41,0,0.103,0.01,-0.042,0.077,0.073,0.072,0.048,-0.028,-0.287,0.037,0
240116_일상검사_야_중_2-6-1_NG,0,0,0.006,-0.002,0.002,0,0,0.135,0.013,0.288,0.203,-0.015,-0.108,-0.198,0.02,0.272,0.131,0.176,-0.03,0.158,0.033,0.1,-0.418,0,0.095,0.096,0.124,0.098,0.028,0.117,-0.223,-0.106,0.03,0.066,-0.317,-0.675,0.006,0.061,0.02,-0.021,-0.036,0.02,0.009,0.019,0.057,0.326,0,0,0.577,0,0,0.033,0.1,-0.418,0,0.105,0.01,-0.017,0.077,0.073,0.072,0.043,-0.058,-0.271,0.03,0
240116_일상검사_야_초_1-1-1_NG,0,0.001,0.001,-0.004,-0.001,0,0,0.138,0.013,0.2,0.251,-0.001,-0.082,-0.176,0.029,0.29,0.155,0.181,-0.012,0.176,0.046,0.093,-0.404,0,0.1,0.094,0.145,0.096,0.066,0.053,-0.259,-0.195,0.038,0.074,-0.295,-0.553,0.01,0.089,0.032,-0.023,0.081,0.03,0.091,0.028,0.028,0.316,0,0,0.546,0,0,0.046,0.093,-0.404,0,0.097,0.009,-0.006,0.07,0.082,0.086,0.054,-0.147,-0.307,0.038,0
240116_일상검사_야_초_1-2-1_NG,0,0.003,0.003,0.001,0.003,0,0,0.12,0.011,0.302,0.219,-0.025,-0.11,-0.194,-0.004,0.281,0.18,0.204,-0.028,0.15,0.034,0.14,-0.409,0,0.088,0.123,0.127,0.12,0.044,0.154,-0.264,-0.19,0.026,0.046,-0.267,-0.553,0.014,0.043,0.014,-0.009,0.005,0.028,0.049,0.027,0.004,0.313,0,0,0.581,0,0,0.034,0.14,-0.409,0,0.104,0.01,0.001,0.072,0.073,0.069,0.065,-0.12,-0.333,0.026,0
240116_일상검사_야_초_1-3-1_NG,0,0.001,0.007,0.001,0.003,0,0,0.147,0.014,0.227,0.231,0.014,-0.085,-0.18,0.028,0.29,0.15,0.172,-0.007,0.178,0.044,0.077,-0.415,0,0.083,0.091,0.149,0.081,0.054,0.07,-0.267,-0.137,0.037,0.092,-0.232,-0.672,0.012,0.081,0.029,-0.018,0.031,0.03,0.074,0.025,0.003,0.307,0,0,0.558,0,0,0.044,0.077,-0.415,0,0.108,0.01,-0.038,0.083,0.074,0.073,0.046,-0.099,-0.305,0.037,0
240116_일상검사_야_초_2-3-1_NG,0,0.001,0.002,0,0.001,0,0,0.118,0.011,0.196,0.26,-0.006,-0.096,-0.193,0.017,0.299,0.163,0.18,-0.025,0.181,0.047,0.096,-0.398,0,0.105,0.102,0.126,0.098,0.054,0.088,-0.279,-0.124,0.032,0.075,-0.272,-0.714,0.027,0.072,0.027,0.021,-0.03,0.011,-0.003,0.007,0.005,0.342,0,0,0.582,0,0,0.047,0.096,-0.398,0,0.1,0.009,0.027,0.07,0.076,0.068,0.093,-0.078,-0.325,0.032,0
240116_일상검사_야_초_2-4-1_NG,0,0.001,0.006,0,0.002,0,0,0.127,0.012,0.272,0.238,-0.024,-0.097,-0.186,0.004,0.272,0.168,0.199,-0.026,0.147,0.037,0.137,-0.407,0,0.091,0.12,0.137,0.12,0.037,0.091,-0.188,-0.153,0.03,0.046,-0.358,-0.568,0,0.051,0.02,-0.038,-0.047,0.012,-0.012,0.013,0.072,0.339,0,0,0.593,0,0,0.037,0.137,-0.407,0,0.108,0.01,0.113,0.069,0.082,0.074,0.042,-0.085,-0.256,0.03,0
240116_일상검사_야_초_2-5-1_NG,0,0,0.002,0.003,0.002,0,0,0.118,0.011,0.204,0.388,0.047,-0.026,-0.18,-0.024,0.295,0.167,0.17,-0.027,0.163,0.018,0.095,-0.425,0,0.065,0.091,0.124,0.088,0.034,0.104,-0.359,-0.349,0.035,0.05,-0.266,-0.771,0.008,0.068,0.03,-0.023,0.017,0.012,0.053,0.017,0.078,0.365,0,0,0.611,0,0,0.018,0.095,-0.425,0,0.101,0.009,0.002,0.073,0.076,0.091,0.036,-0.302,-0.406,0.035,0
240116_일상검사_야_초_2-6-1_NG,0,0,0.003,0.002,0.002,0,0,0.142,0.013,0.212,0.241,-0.007,-0.102,-0.02,0.008,0.275,0.126,0.18,-0.024,0.167,0.046,0.108,-0.397,0,0.091,0.108,0.136,0.11,0.051,0.083,-0.244,-0.097,0.034,0.073,-0.327,-0.615,0.003,0.07,0.03,-0.04,-0.072,0.009,-0.044,0.009,0.068,0.368,0,0,0.616,0,0,0.046,0.108,-0.397,0,0.094,0.009,-0.007,0.076,0.089,0.073,0.041,-0.044,-0.297,0.034,0
240116_일상검사_주_초_1-1-1_NG,0,0.004,0.005,0.001,0.003,0,0,0.114,0.011,0.255,0.24,-0.009,-0.114,-0.198,-0.003,0.278,0.144,0.203,-0.05,0.161,0.028,0.129,-0.394,0,0.077,0.129,0.125,0.122,0.03,0.087,0.077,-0.065,0.037,0.031,-0.367,-0.825,0.016,0.047,0.03,-0.021,0.015,0.03,0.049,0.017,-0.008,0.303,0,0,0.543,0,0,0.028,0.129,-0.394,0,0.089,0.008,-0.005,0.058,0.087,0.075,0.056,0,0.012,0.037,0
240116_일상검사_주_초_1-2-1_NG,0,-0.006,0.007,0.004,0.002,0,0,-0.029,-0.003,-1.768,0.268,0.015,-0.144,-0.283,0.014,0.271,0.106,0.149,-0.071,0.182,-0.005,0.067,-0.404,0,0.038,0.091,0.083,0.097,0.021,0.045,-0.17,-0.044,0.041,0.036,-0.243,-0.681,0.023,0.048,0.042,0,0.03,0.027,0.052,0.02,-0.037,0.31,0,0,0.547,0,0,-0.005,0.067,-0.404,0,0.092,0.009,0.007,0.067,0.083,0.079,0.058,-0.023,-0.19,0.041,0
240116_일상검사_주_초_1-3-1_NG,0,-0.003,0.004,0.003,0.002,0,0,0.079,0.007,0.001,0.213,-0.017,-0.137,-0.19,-0.02,0.267,0.155,0.179,-0.053,0.149,0.011,0.111,-0.427,0,0.057,0.101,0.098,0.106,-0.001,0.107,0.102,-0.141,0.024,0.021,-0.291,-0.624,0.009,0.031,0.017,-0.007,0.077,0.027,0.091,0.027,-0.008,0.279,0,0,0.493,0,0,0.011,0.111,-0.427,0,0.098,0.009,0.016,0.057,0.067,0.067,0.053,-0.09,0.051,0.024,0
240116_일상검사_주_초_1-4-1_NG,0,0.003,0.003,0.001,0.002,0,0,0.13,0.012,0.262,0.23,-0.013,-0.12,-0.169,0.018,0.285,0.13,0.182,-0.038,0.173,0.043,0.099,-0.394,0,0.095,0.11,0.127,0.114,0.056,0.1,-0.217,-0.092,0.034,0.066,-0.253,-0.855,0.022,0.075,0.029,0,0.074,0.031,0.067,0.034,0.038,0.317,0,0,0.556,0,0,0.043,0.099,-0.394,0,0.094,0.009,-0.001,0.068,0.088,0.076,0.077,-0.047,-0.261,0.034,0
240116_일상검사_주_초_1-5-1_NG,0,0.004,0.01,0.006,0.007,0,0,0.128,0.012,0.314,0.184,-0.041,-0.106,-0.219,0.016,0.281,0.159,0.201,-0.022,0.147,0.048,0.131,-0.422,0,0.115,0.104,0.149,0.099,0.061,0.095,-0.234,-0.199,0.023,0.056,-0.291,-0.685,0.014,0.071,0.002,0.006,0.043,0.027,0.042,0.025,0.016,0.321,0,0,0.554,0,0,0.048,0.131,-0.422,0,0.107,0.01,0.041,0.066,0.066,0.081,0.075,-0.137,-0.296,0.022,0
240116_일상검사_주_초_1-6-1_NG,0,0.005,0.011,0.008,0.006,0,0,0.15,0.014,0.184,0.33,0.069,-0.096,-0.097,0.01,0.272,0.109,0.115,-0.015,0.204,0.014,0.004,-0.408,0,0.047,0.064,0.104,0.071,0.049,0.2,-0.279,0.119,0.06,0.096,-0.179,-0.811,-0.006,0.067,0.071,-0.081,-0.055,0.026,0.124,0.022,-0.037,0.395,0,0,0.76,0,0,0.014,0.004,-0.408,0,0.09,0.008,-0.085,0.085,0.092,0.056,-0.025,0.123,-0.282,0.06,0
240116_일상검사_주_초_2-1-1_NG,0,-0.001,0.004,0.003,0.001,0,0,0.186,0.017,0.239,0.427,0.026,0,-0.134,0.054,0.273,0.12,0.147,0.02,0.185,0.067,0.048,-0.411,0,0.119,0.078,0.155,0.082,0.09,0.057,-0.291,-0.099,0.04,0.123,-0.237,-0.614,-0.012,0.099,0.043,-0.077,-0.08,-0.001,0.065,0.003,0.007,0.368,0,0,0.734,0,0,0.067,0.048,-0.411,0,0.097,0.009,-0.057,0.081,0.086,0.058,-0.003,-0.071,-0.319,0.04,0
240116_일상검사_주_초_2-2-1_NG,0,0.003,0.006,-0.002,0,0,0,0.168,0.016,0.196,0.251,-0.016,-0.098,-0.212,0.039,0.234,0.147,0.178,-0.012,0.135,0.046,0.134,-0.399,0,0.097,0.147,0.143,0.144,0.064,0.052,-0.256,-0.586,0.04,0.065,-0.39,-0.642,-0.03,0.041,0.026,-0.132,-0.083,0.005,0.073,0.01,0.035,0.369,0,0,0.745,0,0,0.046,0.134,-0.399,0,0.101,0.009,-0.019,0.078,0.097,0.054,-0.026,-0.517,-0.326,0.04,0
240116_일상검사_주_초_2-3-1_NG,0,-0.001,0.003,0.002,0.001,0,0,0.119,0.011,0.104,0.222,0.037,-0.092,-0.144,-0.003,0.297,0.139,0.162,-0.018,0.181,0.036,0.068,-0.415,0,0.083,0.079,0.135,0.077,0.055,0.059,-0.388,-0.094,0.037,0.085,-0.237,-0.764,0.018,0.077,0.028,0,-0.003,0.006,0.002,0.009,0.018,0.331,0,0,0.565,0,0,0.036,0.068,-0.415,0,0.103,0.01,-0.05,0.08,0.069,0.072,0.054,-0.061,-0.421,0.037,0
